flow_key_id,flow_group
1000-4000_Realistic_Core,Realistic_Core
1001-4001_Realistic_Core,Realistic_Core
1002-4002_Realistic_Core,Realistic_Core
1003-4003_Realistic_Core,Realistic_Core
1004-4004_Realistic_Core,Realistic_Core
1005-4005_Realistic_Core,Realistic_Core
1006-4006_Realistic_Core,Realistic_Core
1007-4007_Realistic_Core,Realistic_Core
1008-4008_Realistic_Core,Realistic_Core
1009-4009_Realistic_Core,Realistic_Core
1010-4010_Realistic_Core,Realistic_Core
1011-4011_Realistic_Core,Realistic_Core
1012-4012_Realistic_Core,Realistic_Core
1013-4013_Realistic_Core,Realistic_Core
1014-4014_Realistic_Core,Realistic_Core
1015-4015_Realistic_Core,Realistic_Core
1016-4016_Realistic_Core,Realistic_Core
1017-4017_Realistic_Core,Realistic_Core
1018-4018_Realistic_Core,Realistic_Core
1019-4019_Realistic_Core,Realistic_Core
1020-4020_Realistic_Core,Realistic_Core
1021-4021_Realistic_Core,Realistic_Core
1022-4022_Realistic_Core,Realistic_Core
1023-4023_Realistic_Core,Realistic_Core
1024-4024_Realistic_Core,Realistic_Core
1025-4025_Realistic_Core,Realistic_Core
1026-4026_Realistic_Core,Realistic_Core
1027-4027_Realistic_Core,Realistic_Core
1028-4028_Realistic_Core,Realistic_Core
1029-4029_Realistic_Core,Realistic_Core
1030-4030_Realistic_Core,Realistic_Core
1031-4031_Realistic_Core,Realistic_Core
1032-4032_Realistic_Core,Realistic_Core
1033-4033_Realistic_Core,Realistic_Core
1034-4034_Realistic_Core,Realistic_Core
1035-4035_Realistic_Core,Realistic_Core
1036-4036_Realistic_Core,Realistic_Core
1037-4037_Realistic_Core,Realistic_Core
1038-4038_Realistic_Core,Realistic_Core
1039-4039_Realistic_Core,Realistic_Core
1040-4040_Realistic_Core,Realistic_Core
1041-4041_Realistic_Core,Realistic_Core
1042-4042_Realistic_Core,Realistic_Core
1043-4043_Realistic_Core,Realistic_Core
1044-4044_Realistic_Core,Realistic_Core
1045-4045_Realistic_Core,Realistic_Core
1046-4046_Realistic_Core,Realistic_Core
1047-4047_Realistic_Core,Realistic_Core
1048-4048_Realistic_Core,Realistic_Core
